Notes,State,State Code,Year of Death,Year of Death Code,Age of Mother,Age of Mother Code,Deaths,Births,Death Rate
,Florida,12,2012,2012,20-24 years,20-24,379,51086,7.42
,Florida,12,2012,2012,25-29 years,25-29,343,60981,5.62
,Florida,12,2012,2012,30-34 years,30-34,242,52353,4.62
,Florida,12,2012,2012,35-39 years,35-39,140,25767,5.43
,Florida,12,2012,2012,40-44 years,40-44,62,6390,9.7
,Florida,12,2013,2013,15-19 years,15-19,109,13962,7.81
,Florida,12,2013,2013,20-24 years,20-24,369,50432,7.32
,Florida,12,2013,2013,25-29 years,25-29,362,61962,5.84
,Florida,12,2013,2013,30-34 years,30-34,288,55088,5.23
,Florida,12,2013,2013,35-39 years,35-39,144,26750,5.38
,Florida,12,2013,2013,40-44 years,40-44,41,6622,6.19
,Florida,12,2014,2014,15-19 years,15-19,120,12816,9.36
,Florida,12,2014,2014,20-24 years,20-24,325,49837,6.52
,Florida,12,2014,2014,25-29 years,25-29,387,64106,6.04
,Florida,12,2014,2014,30-34 years,30-34,295,57649,5.12
,Florida,12,2014,2014,35-39 years,35-39,165,28390,5.81
,Florida,12,2014,2014,40-44 years,40-44,45,6580,6.84
,Georgia,13,2007,2007,15-19 years,15-19,214,18085,11.83
,Georgia,13,2007,2007,20-24 years,20-24,374,41058,9.11
,Georgia,13,2007,2007,25-29 years,25-29,305,41330,7.38
,Georgia,13,2007,2007,30-34 years,30-34,180,31230,5.76
,Georgia,13,2007,2007,35-39 years,35-39,105,15778,6.65
,Georgia,13,2007,2007,40-44 years,40-44,22,3139,7.01
,Georgia,13,2008,2008,15-19 years,15-19,188,17273,10.88
,Georgia,13,2008,2008,20-24 years,20-24,339,39443,8.59
,Georgia,13,2008,2008,25-29 years,25-29,304,40327,7.54
,Georgia,13,2008,2008,30-34 years,30-34,185,30369,6.09
,Georgia,13,2008,2008,35-39 years,35-39,111,15605,7.11
,Georgia,13,2008,2008,40-44 years,40-44,39,3122,12.49
,Georgia,13,2009,2009,15-19 years,15-19,149,16345,9.12
